OrderID,OrderDate,CustomerID,ProductID,RegionID,Quantity,Revenue,Cost
ORD-00155,2024-09-11,CUST-039,PROD-004,3,1,302.82,158.94
ORD-00156,2025-09-02,CUST-027,PROD-015,6,5,1288.93,717.64
ORD-00157,2025-04-06,CUST-044,PROD-004,4,4,1148.83,662.37
ORD-00158,2025-03-15,CUST-011,PROD-015,4,3,829.48,346.78
ORD-00159,2024-04-11,CUST-049,PROD-002,2,2,244.73,117.32
ORD-00160,2024-03-24,CUST-009,PROD-002,3,2,226.32,128.01
ORD-00161,2024-06-09,CUST-025,PROD-017,5,1,435.75,264.42
ORD-00162,2025-04-26,CUST-004,PROD-019,10,3,908.4,441.87
ORD-00163,2024-10-16,CUST-009,PROD-015,8,4,997.43,468.82
ORD-00164,2024-09-27,CUST-036,PROD-009,10,5,755.13,513.56
ORD-00165,2025-03-11,CUST-041,PROD-015,4,1,275.18,163.54
ORD-00166,2024-09-29,CUST-047,PROD-015,8,2,498.74,224.32
ORD-00167,2024-11-10,CUST-049,PROD-006,7,5,1600.88,913.72
ORD-00168,2024-10-22,CUST-026,PROD-003,2,4,1263.67,766.55
ORD-00169,2025-12-17,CUST-027,PROD-004,3,4,1303.37,717.04
ORD-00170,2025-05-20,CUST-045,PROD-005,8,4,204.87,84.4
ORD-00171,2025-03-18,CUST-034,PROD-004,9,3,916.65,373.77
ORD-00172,2024-08-22,CUST-030,PROD-003,10,5,1737.66,705.88
ORD-00173,2025-11-19,CUST-026,PROD-004,7,3,911.71,573.4
ORD-00174,2024-06-28,CUST-032,PROD-002,5,4,479.29,255.3
ORD-00175,2024-10-11,CUST-036,PROD-003,7,2,751.06,398.64
ORD-00176,2025-05-18,CUST-006,PROD-016,10,1,278.82,145.68
ORD-00177,2024-11-24,CUST-045,PROD-012,1,1,59.42,29.65
ORD-00178,2025-12-11,CUST-002,PROD-019,4,4,1279.49,874.61
ORD-00179,2025-07-17,CUST-031,PROD-012,9,1,54.95,27.16
ORD-00180,2024-11-27,CUST-023,PROD-017,3,1,485.61,253.13
ORD-00181,2025-06-10,CUST-007,PROD-014,2,1,418.28,235.4
ORD-00182,2025-02-27,CUST-009,PROD-012,7,1,51.99,26.44
ORD-00183,2025-05-25,CUST-022,PROD-010,4,4,1481.59,683.11
ORD-00184,2025-07-16,CUST-023,PROD-017,8,2,963.67,512.13
ORD-00185,2025-12-16,CUST-011,PROD-001,5,4,82.3,56.95
ORD-00186,2025-09-15,CUST-036,PROD-015,5,2,568.39,280.34
ORD-00187,2024-01-15,CUST-001,PROD-007,6,5,1771.05,827.81
ORD-00188,2024-04-26,CUST-001,PROD-001,8,4,97.0,57.65
ORD-00189,2024-06-06,CUST-048,PROD-010,10,4,1530.23,746.08
ORD-00190,2025-12-23,CUST-005,PROD-005,5,3,164.9,89.83
ORD-00191,2025-04-28,CUST-030,PROD-010,8,2,698.09,309.53
ORD-00192,2024-07-14,CUST-019,PROD-019,1,5,1672.85,1110.43
ORD-00193,2024-03-12,CUST-018,PROD-005,6,3,176.88,116.09
ORD-00194,2024-12-14,CUST-003,PROD-010,8,5,1678.47,672.68
ORD-00195,2026-01-13,CUST-032,PROD-017,5,3,1421.49,815.9
ORD-00196,2025-11-06,CUST-042,PROD-003,3,4,1466.13,782.86
ORD-00197,2025-05-10,CUST-011,PROD-008,10,3,625.01,393.04
ORD-00198,2025-01-21,CUST-028,PROD-020,3,4,1865.03,1232.56
ORD-00199,2025-12-15,CUST-026,PROD-015,2,2,553.33,260.1
ORD-00200,2025-02-24,CUST-049,PROD-008,5,1,207.72,112.56
ORD-00201,2025-01-25,CUST-021,PROD-004,6,4,1314.32,838.17
ORD-00202,2025-10-29,CUST-008,PROD-017,3,2,886.91,364.61
ORD-00203,2025-05-29,CUST-027,PROD-018,5,5,503.59,216.6
ORD-00204,2025-03-26,CUST-009,PROD-004,9,1,300.89,161.6
ORD-00205,2026-01-09,CUST-026,PROD-002,9,2,234.44,139.83
ORD-00206,2024-06-07,CUST-011,PROD-018,7,1,103.58,71.55
ORD-00207,2024-12-12,CUST-049,PROD-016,8,5,1456.55,866.58
ORD-00208,2024-12-02,CUST-002,PROD-016,10,5,1368.84,677.57
ORD-00209,2026-01-05,CUST-008,PROD-002,2,4,513.04,210.74
ORD-00210,2024-03-11,CUST-007,PROD-017,9,2,911.03,616.11
ORD-00211,2024-08-20,CUST-016,PROD-020,2,1,423.44,181.88
ORD-00212,2025-10-10,CUST-044,PROD-012,10,1,54.83,33.35
ORD-00213,2024-01-30,CUST-046,PROD-008,2,1,207.99,86.7
ORD-00214,2025-01-02,CUST-019,PROD-009,7,3,432.85,204.85
ORD-00215,2025-02-25,CUST-002,PROD-012,4,5,287.33,130.45
ORD-00216,2024-06-28,CUST-014,PROD-009,8,1,149.51,76.96
ORD-00217,2025-11-30,CUST-012,PROD-006,6,2,609.7,350.55
ORD-00218,2024-08-25,CUST-003,PROD-013,9,4,1748.0,940.2
ORD-00219,2025-11-13,CUST-010,PROD-009,1,1,157.98,85.24
ORD-00220,2024-10-21,CUST-010,PROD-005,5,5,260.43,138.68
ORD-00221,2024-12-19,CUST-050,PROD-016,10,5,1346.16,926.98
ORD-00222,2025-12-07,CUST-050,PROD-007,1,3,1073.2,526.55
ORD-00223,2025-01-28,CUST-045,PROD-017,3,4,1635.8,841.47
ORD-00224,2025-01-02,CUST-009,PROD-003,5,5,1638.17,998.93
ORD-00225,2024-01-23,CUST-012,PROD-007,7,4,1378.3,785.33
ORD-00226,2025-12-03,CUST-042,PROD-004,4,1,323.92,201.98
ORD-00227,2024-10-20,CUST-015,PROD-004,8,2,611.5,309.23
ORD-00228,2025-10-13,CUST-029,PROD-018,8,2,213.48,128.8
ORD-00229,2026-01-08,CUST-018,PROD-010,10,2,722.24,484.64
ORD-00230,2025-10-23,CUST-045,PROD-011,8,1,82.89,44.12
ORD-00231,2025-08-16,CUST-050,PROD-017,1,3,1393.49,595.08
ORD-00232,2024-10-29,CUST-046,PROD-006,9,3,960.26,434.7
ORD-00233,2024-05-15,CUST-003,PROD-003,6,5,1836.49,936.16
ORD-00234,2025-05-28,CUST-017,PROD-011,10,3,275.63,131.5
ORD-00235,2025-05-08,CUST-022,PROD-001,9,3,70.07,35.15
ORD-00236,2024-04-27,CUST-024,PROD-018,9,4,455.47,201.42
ORD-00237,2024-08-19,CUST-027,PROD-005,9,4,244.54,156.84
ORD-00238,2025-01-09,CUST-043,PROD-017,10,1,469.68,189.83
ORD-00239,2025-07-03,CUST-033,PROD-011,2,1,85.4,51.4
ORD-00240,2025-11-19,CUST-010,PROD-017,4,3,1354.13,875.75
ORD-00241,2025-01-15,CUST-005,PROD-015,2,1,282.29,152.84
ORD-00242,2025-09-26,CUST-042,PROD-014,7,5,1957.71,1141.39
ORD-00243,2025-10-25,CUST-011,PROD-010,7,1,361.62,195.01
ORD-00244,2025-12-18,CUST-007,PROD-017,5,3,1371.36,596.55
ORD-00245,2024-02-16,CUST-014,PROD-003,5,1,328.21,179.79
ORD-00246,2024-04-09,CUST-027,PROD-012,6,2,119.49,52.66
ORD-00247,2025-04-09,CUST-047,PROD-009,2,3,453.9,282.75
ORD-00248,2025-07-07,CUST-048,PROD-008,5,4,877.3,542.15
ORD-00249,2025-02-28,CUST-042,PROD-011,1,1,91.93,53.75
ORD-00250,2024-10-13,CUST-014,PROD-004,9,1,310.73,144.55
ORD-00251,2025-03-31,CUST-005,PROD-008,3,2,461.77,198.47
ORD-00252,2025-12-03,CUST-042,PROD-011,8,3,260.84,180.85
ORD-00253,2025-01-02,CUST-047,PROD-010,3,1,344.92,157.61
ORD-00254,2024-05-05,CUST-037,PROD-018,10,4,382.84,177.5
ORD-00255,2025-10-16,CUST-030,PROD-010,8,5,1926.32,799.76
ORD-00256,2024-12-07,CUST-017,PROD-010,9,2,773.02,491.71
ORD-00257,2024-07-29,CUST-038,PROD-014,7,1,432.24,244.76
ORD-00258,2025-08-23,CUST-049,PROD-018,1,2,221.49,104.08
ORD-00259,2024-05-31,CUST-032,PROD-015,7,5,1228.15,807.54
ORD-00260,2024-05-28,CUST-022,PROD-001,3,2,44.88,28.7
ORD-00261,2024-04-22,CUST-012,PROD-010,3,1,326.16,165.52
ORD-00262,2024-08-31,CUST-028,PROD-004,6,5,1443.95,653.06
ORD-00263,2024-02-23,CUST-017,PROD-006,6,2,639.47,356.71
ORD-00264,2024-03-06,CUST-010,PROD-002,3,4,472.54,240.34
ORD-00265,2025-08-30,CUST-015,PROD-014,5,1,401.6,187.33
ORD-00266,2025-09-21,CUST-032,PROD-015,2,1,285.15,191.8
ORD-00267,2025-11-05,CUST-010,PROD-006,2,5,1464.45,868.42
ORD-00268,2024-02-01,CUST-045,PROD-011,6,1,94.77,62.0
ORD-00269,2025-03-12,CUST-028,PROD-008,1,1,215.14,144.77
ORD-00270,2024-03-16,CUST-042,PROD-014,5,1,391.06,173.83
ORD-00271,2024-05-09,CUST-033,PROD-020,8,3,1319.34,759.42
ORD-00272,2025-12-30,CUST-028,PROD-011,9,3,252.38,146.18
ORD-00273,2024-10-28,CUST-050,PROD-019,2,4,1337.56,707.65
ORD-00274,2025-12-19,CUST-013,PROD-015,4,1,291.99,173.81
ORD-00275,2025-07-18,CUST-019,PROD-007,9,2,711.61,474.24
ORD-00276,2025-02-27,CUST-004,PROD-005,1,3,178.71,92.86
ORD-00277,2026-01-17,CUST-018,PROD-020,3,1,413.02,203.93
ORD-00278,2024-09-18,CUST-017,PROD-010,7,3,1152.09,698.22
ORD-00279,2025-04-30,CUST-006,PROD-014,9,1,372.34,158.47
ORD-00280,2025-03-18,CUST-012,PROD-010,8,1,369.31,189.01
ORD-00281,2024-05-13,CUST-027,PROD-002,1,5,544.32,373.94
ORD-00282,2025-07-29,CUST-022,PROD-007,2,3,1119.36,585.7
ORD-00283,2025-11-12,CUST-048,PROD-013,7,4,1826.31,1125.59
ORD-00284,2024-10-21,CUST-006,PROD-004,9,5,1440.56,621.0
ORD-00285,2025-06-03,CUST-010,PROD-004,7,2,557.34,303.56
ORD-00286,2024-04-20,CUST-012,PROD-018,1,3,334.26,170.56
ORD-00287,2024-10-12,CUST-027,PROD-019,5,5,1578.63,834.67
ORD-00288,2025-07-28,CUST-005,PROD-006,3,5,1559.59,924.54
ORD-00289,2024-01-27,CUST-004,PROD-013,7,5,2308.83,1498.06
ORD-00290,2024-09-30,CUST-036,PROD-016,10,1,262.57,160.38
ORD-00291,2024-11-12,CUST-016,PROD-013,4,3,1237.8,562.48
ORD-00292,2024-05-26,CUST-026,PROD-011,10,5,444.46,187.06
ORD-00293,2025-10-10,CUST-020,PROD-003,10,1,313.69,175.4
ORD-00294,2025-01-20,CUST-021,PROD-007,8,4,1430.02,639.54
ORD-00295,2024-11-15,CUST-036,PROD-009,7,3,463.23,264.17
ORD-00296,2024-03-27,CUST-021,PROD-001,2,1,20.73,12.98
ORD-00297,2024-02-20,CUST-029,PROD-005,10,1,53.36,31.94
ORD-00298,2025-05-12,CUST-049,PROD-010,6,5,1740.04,838.61
ORD-00299,2025-06-08,CUST-014,PROD-005,8,1,54.18,23.47
ORD-00300,2025-11-25,CUST-029,PROD-018,9,5,519.71,311.9
ORD-00301,2024-02-16,CUST-012,PROD-009,3,2,286.49,166.11
ORD-00302,2024-01-08,CUST-049,PROD-014,6,2,778.77,360.86
ORD-00303,2024-05-20,CUST-028,PROD-006,10,3,876.44,382.12
ORD-00304,2025-05-24,CUST-026,PROD-003,5,4,1277.7,656.82
ORD-00305,2025-12-21,CUST-049,PROD-007,10,2,721.74,469.14
ORD-00306,2024-12-28,CUST-044,PROD-001,10,1,21.8,13.57
ORD-00307,2025-03-22,CUST-036,PROD-018,8,1,103.38,43.77
ORD-00308,2024-11-16,CUST-027,PROD-018,4,5,513.73,267.82
ORD-00309,2025-10-17,CUST-023,PROD-001,1,4,85.29,44.48
ORD-00310,2024-11-28,CUST-017,PROD-009,3,2,310.25,181.63
ORD-00311,2025-12-07,CUST-004,PROD-017,3,3,1221.92,798.34
ORD-00312,2024-09-06,CUST-005,PROD-017,2,4,1807.04,1006.86
ORD-00313,2025-02-09,CUST-005,PROD-008,4,3,678.47,316.49
ORD-00314,2024-06-21,CUST-032,PROD-010,3,1,352.83,153.2
ORD-00315,2025-06-06,CUST-049,PROD-014,4,2,876.82,442.63
ORD-00316,2026-01-14,CUST-001,PROD-005,2,2,105.92,47.02
ORD-00317,2024-07-21,CUST-009,PROD-012,4,2,113.17,71.08
ORD-00318,2025-11-02,CUST-037,PROD-009,1,1,136.86,86.48
ORD-00319,2025-05-20,CUST-018,PROD-006,4,4,1282.04,805.07
ORD-00320,2025-04-04,CUST-024,PROD-011,9,5,443.22,308.46
ORD-00321,2024-11-26,CUST-022,PROD-018,3,3,290.83,122.29
ORD-00322,2025-03-28,CUST-002,PROD-001,7,3,70.74,40.85
ORD-00323,2024-12-26,CUST-030,PROD-015,9,5,1247.61,671.87
ORD-00324,2024-02-08,CUST-043,PROD-002,8,1,116.24,56.51
ORD-00325,2025-10-22,CUST-004,PROD-013,8,1,435.05,240.2
ORD-00326,2025-04-18,CUST-017,PROD-008,3,5,1089.51,694.61
ORD-00327,2024-02-12,CUST-015,PROD-009,3,4,633.12,361.83
ORD-00328,2024-07-11,CUST-021,PROD-013,4,3,1302.6,716.96
ORD-00329,2024-03-04,CUST-029,PROD-019,5,4,1230.13,823.86
ORD-00330,2024-12-17,CUST-044,PROD-009,2,1,146.44,66.16
ORD-00331,2024-09-10,CUST-035,PROD-016,7,4,1232.18,686.6
ORD-00332,2025-09-16,CUST-039,PROD-008,1,2,419.38,283.24
ORD-00333,2025-01-31,CUST-033,PROD-018,6,4,439.76,265.47
ORD-00334,2024-02-23,CUST-043,PROD-002,6,3,327.02,140.08
ORD-00335,2025-11-25,CUST-048,PROD-019,2,4,1278.4,788.93
ORD-00336,2025-11-03,CUST-001,PROD-019,10,5,1794.78,897.41
ORD-00337,2025-08-19,CUST-028,PROD-007,4,2,781.85,385.51
ORD-00338,2025-11-02,CUST-006,PROD-012,2,4,205.34,125.8
ORD-00339,2024-03-27,CUST-001,PROD-016,10,3,851.42,504.93
ORD-00340,2024-12-02,CUST-033,PROD-003,4,2,706.4,458.23
ORD-00341,2025-12-02,CUST-011,PROD-014,10,5,1862.6,1119.68
ORD-00342,2025-06-04,CUST-024,PROD-004,1,3,811.49,399.79
ORD-00343,2024-08-07,CUST-010,PROD-020,10,3,1402.59,765.65
ORD-00344,2024-08-19,CUST-023,PROD-019,3,2,621.94,303.97
ORD-00345,2024-04-13,CUST-049,PROD-003,8,5,1800.43,1171.24
ORD-00346,2025-06-23,CUST-017,PROD-012,10,1,57.25,37.95
ORD-00347,2025-09-24,CUST-048,PROD-007,10,2,735.74,328.34
ORD-00348,2024-07-04,CUST-030,PROD-012,7,5,294.39,132.38
ORD-00349,2025-03-24,CUST-045,PROD-018,1,1,102.36,61.71
ORD-00350,2024-08-31,CUST-033,PROD-017,2,4,1814.75,1135.52
ORD-00351,2025-04-04,CUST-024,PROD-006,2,2,614.13,302.67
ORD-00352,2025-04-25,CUST-043,PROD-014,3,2,789.54,540.16
ORD-00353,2025-03-27,CUST-020,PROD-006,9,4,1285.7,814.41
ORD-00354,2025-05-29,CUST-046,PROD-001,6,5,109.49,49.12
ORD-00355,2024-07-23,CUST-026,PROD-009,9,5,678.64,322.35
ORD-00356,2025-10-18,CUST-001,PROD-016,1,4,1205.95,683.0
ORD-00357,2024-04-15,CUST-025,PROD-020,6,5,2296.24,1114.87
ORD-00358,2024-06-13,CUST-008,PROD-016,7,3,832.97,461.47
ORD-00359,2025-03-23,CUST-029,PROD-019,9,1,363.84,169.77
ORD-00360,2025-04-06,CUST-010,PROD-010,9,3,1147.21,601.68
ORD-00361,2025-02-09,CUST-016,PROD-003,10,5,1664.85,858.81
ORD-00362,2024-03-24,CUST-017,PROD-018,3,3,295.43,146.42
